faculty_name,faculty_lastname,faculty_firstname,title,authors,journal,year,date,pmid,url
"Achar, Suraj, MD",Achar,Suraj,Proton Transport on Graphamine: A Deep-Learning Potential Study.,"Lakshmi Y Ananthabhotla, Siddarth K Achar, J Karl Johnson","The journal of physical chemistry. C, Nanomaterials and interfaces",2025,"Nov 27, 2025",41341881,https://pubmed.ncbi.nlm.nih.gov/41341881/
"Achar, Suraj, MD",Achar,Suraj,Outcomes following CD22 CAR T-cells in B-ALL: a tale of two manufacturing strategies.,"Alexandra Dreyzin, Anne Marijn Kramer, Bonnie Yates, Hao-Wei Wang, Bita Sahaf, Constance Yuan, Dorota Klysz, Ramya Tunuguntla, Zachary Ehlinger, Skyler Reitberg, Serifat Adebola, Angela Su, Risa Ebina-Shibuya, Dongya Jia, Sooraj Achar, Sunita Patil, Kathryn Martin, Nikeshan Jeyakumar, Kara L Davis, Terry Fry, Crystal L Mackall, Naomi Taylor, Gregoire Altan-Bonnet, Steven Highfill, Steven Feldman, David F Stroncek, Christopher Chien, Liora Michal Schultz, Matthew J Frank, Lori S Muffly, Haneen Shalabi, Sneha Ramakrishna, Nirali N Shah",Cytotherapy,2025,"Oct 02, 2025",41190967,https://pubmed.ncbi.nlm.nih.gov/41190967/
"Achar, Suraj, MD",Achar,Suraj,Reactive Active Learning: An Efficient Approach for Training Machine Learning Interatomic Potentials for Reacting Systems.,"Siddarth K Achar, Priyanka B Shukla, Chinmay V Mhatre, Leonardo Bernasconi, Caitlyn Y Vinger, J Karl Johnson",Journal of chemical theory and computation,2025,"Sep 23, 2025",40899594,https://pubmed.ncbi.nlm.nih.gov/40899594/
"Achar, Suraj, MD",Achar,Suraj,The 1000,"Adam L Kenet, Sooraj Achar, Alka Dwivedi, John Buckley, Marie Pouzolles, Haiying Qin, Christopher Chien, Naomi Taylor, Grégoire Altan-Bonnet",bioRxiv : the preprint server for biology,2025,"Mar 17, 2025",40568128,https://pubmed.ncbi.nlm.nih.gov/40568128/
"Achar, Suraj, MD",Achar,Suraj,Engineering TCR-controlled fuzzy logic into CAR T cells enhances therapeutic specificity.,"Taisuke Kondo, François X P Bourassa, Sooraj Achar, Justyn DuSold, Pablo F Céspedes, Makoto Ando, Alka Dwivedi, Josquin Moraly, Christopher Chien, Saliha Majdoul, Adam L Kenet, Madison Wahlsten, Audun Kvalvaag, Edward Jenkins, Sanghyun P Kim, Catherine M Ade, Zhiya Yu, Guillaume Gaud, Marco Davila, Paul Love, James C Yang, Michael L Dustin, Grégoire Altan-Bonnet, Paul François, Naomi Taylor",Cell,2025,"May 01, 2025",40220754,https://pubmed.ncbi.nlm.nih.gov/40220754/
"Achar, Suraj, MD",Achar,Suraj,CD22 TCR-engineered T cells exert antileukemia cytotoxicity without causing inflammatory responses.,"Kilyna A Nguyen, Zhihui Liu, John S Davies, Crystal P McIntosh, Lindsey M Draper, Scott M Norberg, Zachary Rae, Sooraj R Achar, Gregoire Altan-Bonnet, Ling Zhang, Xiaolin Wu, Thomas J Meyer, Michael C Kelly, Naomi Taylor, Christian S Hinrichs, Kazusa Ishii",Science advances,2025,"Apr 11, 2025",40203088,https://pubmed.ncbi.nlm.nih.gov/40203088/
"Achar, Suraj, MD",Achar,Suraj,Radiofrequency ablation in tumour-induced osteomalacia: a therapeutic challenge.,"Sanjana Jayaraj Mangala, Manjunath Paidakula Ramakrishna, Shashidhar Achar, Srikanth Narayanaswamy",BMJ case reports,2025,"Jan 14, 2025",39809491,https://pubmed.ncbi.nlm.nih.gov/39809491/
"Ajayi, Toluwalase, MD",Ajayi,Toluwalase,Oxidative stress and fertility studies of selected plants using female Drosophila melanogaster.,"H O Alaka, T O Ajayi, A O Abolaji",BMC research notes,2025,"Nov 10, 2025",41214805,https://pubmed.ncbi.nlm.nih.gov/41214805/
"Ajayi, Toluwalase, MD",Ajayi,Toluwalase,Evaluating the Clinical Reasoning of Generative AI in Palliative Care: A Comparison with Five Years of Pharmacy Learners.,"Mikaila T Lane, Toluwalase A Ajayi, Kyle P Edmonds, Rabia S Atayee",Journal of palliative medicine,2025,Dec 2025,40929006,https://pubmed.ncbi.nlm.nih.gov/40929006/
"Ajayi, Toluwalase, MD",Ajayi,Toluwalase,Association between wearable sensor signals and expected hormonal changes in pregnancy.,"Giulia Milan, Lauren Ariniello, Katie Baca-Motes, Arij Faksh, Jacqueline K Kueper, Jay A Pandit, Tolúwalàṣẹ Àjàyí, Giorgio Quer",EBioMedicine,2025,Sep 2025,40876228,https://pubmed.ncbi.nlm.nih.gov/40876228/
"Ajayi, Toluwalase, MD",Ajayi,Toluwalase,Using the PowerMom Digital Health Platform to Support Prenatal Mental Health and Maternal Health Outcomes: Observational Cohort Study.,"Giulia Milan, Victoria Lee, Matteo Gadaleta, Lauren Ariniello, Arij Faksh, Giorgio Quer, Toluwalase Ajayi",JMIR mental health,2025,"May 22, 2025",40402566,https://pubmed.ncbi.nlm.nih.gov/40402566/
"Ajayi, Toluwalase, MD",Ajayi,Toluwalase,A Single Academic Site Study of Five Years Evaluating Pharmacy Students' Palliative Care Clinical Reasoning Using Script Concordance Testing.,"Florence Labrador, Kyle P Edmonds, Toluwalase A Ajayi, Rabia S Atayee",The American journal of hospice & palliative care,2025,Dec 2025,40353807,https://pubmed.ncbi.nlm.nih.gov/40353807/
"Ajayi, Toluwalase, MD",Ajayi,Toluwalase,"Digital Health Platform for Maternal Health: Design, Recruitment Strategies, and Lessons Learned From the PowerMom Observational Cohort Study.","Toluwalase Ajayi, Jacqueline Kueper, Lauren Ariniello, Diana Ho, Felipe Delgado, Matthew Beal, Jill Waalen, Katie Baca Motes, Edward Ramos",JMIR formative research,2025,"Apr 07, 2025",40194282,https://pubmed.ncbi.nlm.nih.gov/40194282/
"Ajayi, Toluwalase, MD",Ajayi,Toluwalase,Abnormal global longitudinal strain and reduced serum inflammatory markers in cardiac AL amyloidosis patients without significant amyloid fibril deposition.,"Camille V Edwards, Grace M Ferri, Josue Villegas-Galaviz, Sabrina Ghosh, Pushpinder Singh Bawa, Feiya Wang, Elena Klimtchuk, Tinuola B Ajayi, Gareth J Morgan, Tatiana Prokaeva, Andrew Staron, Frederick L Ruberg, Vaishali Sanchorawala, Richard M Giadone, George J Murphy",Amyloid : the international journal of experimental and clinical investigation : the official journal of the International Society of Amyloidosis,2025,Jun 2025,40134188,https://pubmed.ncbi.nlm.nih.gov/40134188/
"Al-Delaimy, Wael MD, PhD",Al-Delaimy,Wael MD,"Integrating Health in the Water-Energy-Food Nexus: A Comprehensive Review of Interdependencies, Challenges, and Future Research Opportunities.","Rashed Albatayneh, Rabi Mohtar, Zainab Ashkanani, Bassel Daher, Wael K Al-Delaimy",Current environmental health reports,2025,"Dec 10, 2025",41369723,https://pubmed.ncbi.nlm.nih.gov/41369723/
"Al-Delaimy, Wael MD, PhD",Al-Delaimy,Wael MD,Perceived clinical and ethical impact of digital transformation in healthcare and research: A survey in the MENA region.,"Hisham E Hasan, Karem H Alzoubi, Omar F Khabour, Wael K Al-Delaimy, Kenneth W Goodman",PloS one,2025,2025,41329721,https://pubmed.ncbi.nlm.nih.gov/41329721/
"Al-Delaimy, Wael MD, PhD",Al-Delaimy,Wael MD,Mortality Related to Climate Change and Environmental Hazards in the Mediterranean Region: A Scoping Review.,"Mouaad Adarbaz, Kenza Khomsi, Wael K Al-Delaimy, Myriam Mrad, Fayez Abdulla, Mohamed Khalis",Current environmental health reports,2025,"Nov 05, 2025",41188608,https://pubmed.ncbi.nlm.nih.gov/41188608/
"Al-Delaimy, Wael MD, PhD",Al-Delaimy,Wael MD,Severity Classification of Anxiety and Depression Using Generalized Anxiety Disorder Scale and Patient Health Questionnaire: National Cross-Sectional Study Applying Classification and Regression Tree Models.,"Andre Faro, Julian Tejada, Wael Al-Delaimy",JMIR public health and surveillance,2025,"Sep 30, 2025",41027019,https://pubmed.ncbi.nlm.nih.gov/41027019/
"Al-Delaimy, Wael MD, PhD",Al-Delaimy,Wael MD,Tribal-Led Commercial Tobacco Prevention: Outcomes from the California American Indian Tobacco Initiative Evaluation.,"Nathaniel J Gonzalez, Lauren Nippoldt, Kelly Nielsen, Chag Lowry, Alexxa R Casanova, Georgia C Kovacs, Wael K Al-Delaimy",Journal of racial and ethnic health disparities,2025,"Sep 15, 2025",40952646,https://pubmed.ncbi.nlm.nih.gov/40952646/
"Al-Delaimy, Wael MD, PhD",Al-Delaimy,Wael MD,Enhancing 5-Day Particulate Matter (PM10) Forecasts in Morocco Using U-Net: A Deep Learning Approach.,"Anass Houdou, Kenza Khomsi, Luca Delle Monache, Weiming Hu, Saber Boutayeb, Lahcen Belyamani, Fayez Abdulla, Imad El Badisy, Wael K Al-Delaimy, Mohamed Khalis",Atmospheric research,2026,Jan 2026,40933727,https://pubmed.ncbi.nlm.nih.gov/40933727/
"Al-Delaimy, Wael MD, PhD",Al-Delaimy,Wael MD,Community health workers for mental health care in refugee camps: a scoping review.,"Rasha Istaiteyeh, Wael K Al-Delaimy",International journal for equity in health,2025,"Aug 07, 2025",40775773,https://pubmed.ncbi.nlm.nih.gov/40775773/
"Al-Delaimy, Wael MD, PhD",Al-Delaimy,Wael MD,Community dynamics influencing commercial tobacco control policy development on California American Indian lands: a qualitative analysis of baseline CAITIE data.,"Jeremiah Wiebe-Anderson, Danielle R Lippert, Wael K Al-Delaimy",Frontiers in public health,2025,2025,40703159,https://pubmed.ncbi.nlm.nih.gov/40703159/
"Al-Delaimy, Wael MD, PhD",Al-Delaimy,Wael MD,Research Ethics Education Program in Jordan: Achievements and Challenges.,"Wael K Al-Delaimy, Karem Alzoubi, Omar Khabour, Sanaa Jaber",Journal of empirical research on human research ethics : JERHRE,2025,"Jul 07, 2025",40620092,https://pubmed.ncbi.nlm.nih.gov/40620092/
