faculty_name,faculty_lastname,faculty_firstname,title,authors,journal,year,pmid,url
"Tai-Seale, PhD, MPH",Tai-Seale,,Telehealth Emergency Department Transition-of-care Program: A Value-based Innovation.,"Allyson Kreshak, Itzik Fadlon, Karna Malaviya, et al.",The western journal of emergency medicine,2025,41193006,https://pubmed.ncbi.nlm.nih.gov/41193006/
"Tai-Seale, PhD, MPH",Tai-Seale,,OUTPACE: Outcomes of urinary incontinence treatment in primary care - APP co-management and electronic consult.,"C Pangelina, J Bergman, T Cheng, et al.",Contemporary clinical trials,2025,40268237,https://pubmed.ncbi.nlm.nih.gov/40268237/
"Tai-Seale, PhD, MPH",Tai-Seale,,Factors Influencing Primary Care Physicians' Intent to Refer Patients With Hypertension to a Digital Remote Blood Pressure Monitoring Program: Mixed Methods Study.,"Jennifer J Wu, Ross Graham, Julie Çelebi, et al.",Journal of medical Internet research,2025,40126550,https://pubmed.ncbi.nlm.nih.gov/40126550/
"Tai-Seale, PhD, MPH",Tai-Seale,,Leveraging diagnosis and biometric data from the All of Us Research Program to uncover disparities in obesity diagnosis.,"Alina Arseniev-Koehler, Ming Tai-Seale, Crystal W Cené, et al.",Obesity pillars,2025,40028616,https://pubmed.ncbi.nlm.nih.gov/40028616/
"Tai-Seale, PhD, MPH",Tai-Seale,,Learning health system research as a catalyst for promoting physician wellness: EHR InBasket Spring cleaning and team-based compassion practice.,"Ming Tai-Seale, Amanda Walker, Yuwei Cheng, et al.",Learning health systems,2025,39822924,https://pubmed.ncbi.nlm.nih.gov/39822924/
"Wu, Jennifer, MD",Wu,Jennifer,The Role of PI3K Inhibition in Suppressing Pancreatic Cancer Progression: Mechanistic Insights From Copanlisib Studies.,"Li Yu, Jiayao Wu, Shijie Wan, et al.",Archiv der Pharmazie,2025,41251088,https://pubmed.ncbi.nlm.nih.gov/41251088/
"Wu, Jennifer, MD",Wu,Jennifer,Multimodality vascular imaging in sequential treatment for giant coronary artery aneurysms with coronary-pulmonary artery fistulas.,"Peng Liu, Jie Wu, Ming Liu",European heart journal,2025,41251080,https://pubmed.ncbi.nlm.nih.gov/41251080/
"Wu, Jennifer, MD",Wu,Jennifer,Characterization of Biofilm Wrinkles Based on the Composite Bilayer Model.,"Yifan He, Xiaolei Cao, Jin Wu, et al.",Journal of basic microbiology,2025,41250896,https://pubmed.ncbi.nlm.nih.gov/41250896/
"Wu, Jennifer, MD",Wu,Jennifer,Retraction: Galactose-based polymer-containing phenylboronic acid as carriers for insulin delivery (Zhong,"Yunhua Zhong, Bo Song, Dan He, et al.",Nanotechnology,2025,41250844,https://pubmed.ncbi.nlm.nih.gov/41250844/
"Wu, Jennifer, MD",Wu,Jennifer,Structured reflective reasoning for precise medical knowledge graph retrieval augmented generation.,"Beilun Wang, Jiayi Wu, Yutian Shi, et al.",Health information science and systems,2025,41250680,https://pubmed.ncbi.nlm.nih.gov/41250680/
"Wu, Jennifer, MD",Wu,Jennifer,"Extracellular Matrix-Guided Hierarchical Assembly of Self-Powered Patches for Stress Relaxing, Wireless Monitoring, and Accelerated Healing of Pressure Ulcers.","Rui Tang, Ya-Jun Fu, Chenchen Liu, et al.",ACS nano,2025,41250657,https://pubmed.ncbi.nlm.nih.gov/41250657/
"Wu, Jennifer, MD",Wu,Jennifer,Parametric instability in discrete models of spatiotemporally modulated materials.,"Jiuda Wu, Behrooz Yousefzadeh",Physical review. E,2025,41250313,https://pubmed.ncbi.nlm.nih.gov/41250313/
"Wu, Jennifer, MD",Wu,Jennifer,Double-stranded DNA deaminase DddA,"Yuqiang Qian, Fengjiao Hui, Wenchao Niu, et al.",Genome biology,2025,41250247,https://pubmed.ncbi.nlm.nih.gov/41250247/
"Wu, Jennifer, MD",Wu,Jennifer,"Pathophysiological mechanisms, diagnostic innovations, and multimodal therapeutic strategies for slow transit constipation.","Xuesong Tang, Yiman Huang, Tao Jiang, et al.",BMC gastroenterology,2025,41249937,https://pubmed.ncbi.nlm.nih.gov/41249937/
"Wu, Jennifer, MD",Wu,Jennifer,A multi-omics landscape of programmed cell death in acetaminophen-induced acute kidney injury.,"Jianxin Zheng, Peng Lai, Jiaheng Wu, et al.",Renal failure,2025,41249093,https://pubmed.ncbi.nlm.nih.gov/41249093/
"Wu, Jennifer, MD",Wu,Jennifer,Soybean glycinin and β-conglycinin disrupted the interaction bwteen mitochondria and endoplasmic reticulum in porcine intestinal epithelial cells through oxidative stress cascades.,"Lei Wang, Chenlong Wang, Hongyan Ding, et al.",Developmental and comparative immunology,2025,41248871,https://pubmed.ncbi.nlm.nih.gov/41248871/
"Wu, Jennifer, MD",Wu,Jennifer,Urinary metabolomic biomarkers for diagnosing central precocious puberty and revealing sexual dimorphism.,"Lingling Wen, Sheng Wu, Jingxia Wu, et al.",The Journal of steroid biochemistry and molecular biology,2025,41248833,https://pubmed.ncbi.nlm.nih.gov/41248833/
"Wu, Jennifer, MD",Wu,Jennifer,Investigating the Role of Spatial Perception in Literal and Metaphorical Language Comprehension.,"Xu Liu, Jianshe Wu",NeuroImage,2025,41248774,https://pubmed.ncbi.nlm.nih.gov/41248774/
"Wu, Jennifer, MD",Wu,Jennifer,Prior Treatment Clarity and Safety Imperatives in Pediatric Alopecia Areata Combination Therapy.,"Zheying Huang, Jiwei Wu",Journal of the American Academy of Dermatology,2025,41248773,https://pubmed.ncbi.nlm.nih.gov/41248773/
"Wu, Jennifer, MD",Wu,Jennifer,Effect of the ,"Peder Af Geijerstam, Emir Johansson, Siri Fägerstam, et al.",BMJ open,2025,41248424,https://pubmed.ncbi.nlm.nih.gov/41248424/
"Wu, Jennifer, MD",Wu,Jennifer,Decoding Multidrug Resistance Mechanism in ,"Kaixin Gu, Qingzhu Teng, Ying Yang, et al.",Journal of agricultural and food chemistry,2025,41248333,https://pubmed.ncbi.nlm.nih.gov/41248333/
"Wu, Jennifer, MD",Wu,Jennifer,KAN-GLNet: An enhanced PointNet++ model for canola silique segmentation and counting.,"Jiajun Liu, Bei Zhou, Jie Liu, et al.",PloS one,2025,41248190,https://pubmed.ncbi.nlm.nih.gov/41248190/
"Wu, Jennifer, MD",Wu,Jennifer,Long COVID and symptom persistence in post-discharge omicron patients: Insights into C-reactive protein.,"Jiankang Wu, Naishu Xie, Weiwei Meng, et al.",Chronic illness,2025,41248018,https://pubmed.ncbi.nlm.nih.gov/41248018/
"Wu, Jennifer, MD",Wu,Jennifer,Global insights and trends in to laparoscopic donor hepatectomy: a bibliometric analysis.,"Yilizhati Azhati, Alimujiang Mamuti, Jing Wu, et al.","International journal of surgery (London, England)",2025,41247918,https://pubmed.ncbi.nlm.nih.gov/41247918/
"Wu, Jennifer, MD",Wu,Jennifer,Shared Mechanisms and Integrated Management of Post-Stroke Pain and Depression: A Comprehensive Review.,"Yujia Jin, Fan Wu, Meng Jin, et al.",Pain and therapy,2025,41247667,https://pubmed.ncbi.nlm.nih.gov/41247667/
"Wu, Jennifer, MD",Wu,Jennifer,Enhanced Microplastic Burial in China's Coastal Blue Carbon Ecosystems: Drivers and Potential Roles in Climate Change Mitigation.,"Yuzhou Huang, Marianne Holmer, Caicai Xu, et al.",Environmental science & technology,2025,41247285,https://pubmed.ncbi.nlm.nih.gov/41247285/
"Wu, Jennifer, MD",Wu,Jennifer,Variation in the efficiency of English general practices and associated factors: A cross-sectional study of 5069 general practices.,"Augustine Onwunduba, Jianhua Wu, Helena Painter, et al.",The European journal of general practice,2025,41247001,https://pubmed.ncbi.nlm.nih.gov/41247001/
"Wu, Jennifer, MD",Wu,Jennifer,The association of the plasma iron and neuron-specific enolase combination and the 28-day neurological outcome after cardiopulmonary resuscitation: a prospective study of iron metabolism disturbances.,"Yi Jiang, Jianyong Wu, Ying Liu, et al.",World journal of emergency medicine,2025,41246532,https://pubmed.ncbi.nlm.nih.gov/41246532/
"Wu, Jennifer, MD",Wu,Jennifer,Lactylation-related gene ,"Zichen Shao, Qinqin Deng, Ling Cheng, et al.",Frontiers in immunology,2025,41246341,https://pubmed.ncbi.nlm.nih.gov/41246341/
"Wu, Jennifer, MD",Wu,Jennifer,"The dual immunomodulatory role of B cells in tumorigenesis: mechanisms, microenvironment crosstalk, and therapeutic implications.","Zhuangwei Lv, Ruohao Yang, Kai Zhang, et al.",Frontiers in immunology,2025,41246318,https://pubmed.ncbi.nlm.nih.gov/41246318/
"Wu, Jennifer, MD",Wu,Jennifer,Impact of perceived environmental legacy on residents' pro-environmental behaviors in large-scale sport events: a moderation analysis of authenticity.,"Jiexin Chen, Ji Wu, Yigang Wu",Frontiers in sports and active living,2025,41245644,https://pubmed.ncbi.nlm.nih.gov/41245644/
"Wu, Jennifer, MD",Wu,Jennifer,"A WRKY transcription factor, ","Na Chen, Lingzeng Lv, Lian Duan, et al.",Frontiers in plant science,2025,41245455,https://pubmed.ncbi.nlm.nih.gov/41245455/
"Wu, Jennifer, MD",Wu,Jennifer,Unlocking the potential of artificial intelligence in improving learning achievement in blended learning: a meta-analysis.,"Jiajun Wu, Ahmed Tlili, Soheil Salha, et al.",Frontiers in psychology,2025,41245344,https://pubmed.ncbi.nlm.nih.gov/41245344/
"Wu, Jennifer, MD",Wu,Jennifer,Brain connectivity moderated the effects of cognitive intraindividual variability on mobility in cognitively frail older adults.,"Jingyi Wu, Jinyu Chen, Juncen Wu, et al.",Frontiers in aging neuroscience,2025,41245136,https://pubmed.ncbi.nlm.nih.gov/41245136/
"Wu, Jennifer, MD",Wu,Jennifer,Engineering heterologous core promoters to optimize the SES expression system for ,"Bo Sun, Yu Tan, Nitesh Kumar Mund, et al.",Synthetic and systems biotechnology,2026,41245009,https://pubmed.ncbi.nlm.nih.gov/41245009/
"Wu, Jennifer, MD",Wu,Jennifer,1-stearoyl-2-arachidonoyl-driven B Cell metabolic dysregulation in chronic rhinosinusitis with nasal polyps: insights from Mendelian randomization and single-cell RNA sequencing.,"Jian Wu, Yifang Sun, Shuyue Wang, et al.",Frontiers in pharmacology,2025,41244838,https://pubmed.ncbi.nlm.nih.gov/41244838/
"Wu, Jennifer, MD",Wu,Jennifer,A comparative analysis of hysterectomy outcomes: robotic single-port vs. traditional transvaginal NOTES approaches.,"Qiannan Yang, Daniel Y Lovell, Juliana Wu, et al.",Frontiers in medicine,2025,41244775,https://pubmed.ncbi.nlm.nih.gov/41244775/
"Wu, Jennifer, MD",Wu,Jennifer,An exploratory study of urinary proteome in trigeminal neuralgia.,"Lilong Wei, Haitong Wang, Yun Zhou, et al.",Frontiers in molecular biosciences,2025,41244708,https://pubmed.ncbi.nlm.nih.gov/41244708/
"Wu, Jennifer, MD",Wu,Jennifer,Developing an approach for evaluating the cardiotoxic potential of botanicals.,"Julie Krzykwa, Hemantkumar S Chaudhari, Andre Monteiro Da Rocha, et al.",Frontiers in toxicology,2025,41244630,https://pubmed.ncbi.nlm.nih.gov/41244630/
"Wu, Jennifer, MD",Wu,Jennifer,"Mechanism, Application, and Prospect of Fracturing-Flooding Technology: A Review.","Haixiang Zhang, Meng Fan, Jiawei Wu, et al.",ACS omega,2025,41244422,https://pubmed.ncbi.nlm.nih.gov/41244422/
"Wu, Jennifer, MD",Wu,Jennifer,Construction and validation of a Cox regression-based nomogram model for predicting recurrence risk in early endometrial cancer.,"Yuan Hao, Yufen Jiang, Juan Wu, et al.",American journal of cancer research,2025,41244130,https://pubmed.ncbi.nlm.nih.gov/41244130/
"Wu, Jennifer, MD",Wu,Jennifer,Application value of bone metabolism and immune cell indicators in screening for tumor bone metastasis: a retrospective study.,"Chengru Hu, Jun Chen, Jing Zhu, et al.",American journal of cancer research,2025,41244111,https://pubmed.ncbi.nlm.nih.gov/41244111/
"Wu, Jennifer, MD",Wu,Jennifer,SMARCA4/BRG1-deficient NSCLC: a case report and literature review.,"He Zhang, Xiong-Wen Tu, Yu-Qing Wei, et al.",JPMA. The Journal of the Pakistan Medical Association,2025,41243917,https://pubmed.ncbi.nlm.nih.gov/41243917/
"Wu, Jennifer, MD",Wu,Jennifer,The Predictive Value of Hemoglobin-to-Red Blood Cell Distribution Width Ratio for the Prognosis of Patients with Aortic Dissection: Based on the Medical Information Mart for Intensive Care-IV Database.,"Jianqiang Wu, Zhengli Zou",Anatolian journal of cardiology,2025,41243884,https://pubmed.ncbi.nlm.nih.gov/41243884/
"Wu, Jennifer, MD",Wu,Jennifer,Genome-Wide Association Study Identifies Candidate Genes of Boar Semen Quality Traits.,"Yue Feng, Xinyue Chen, Yu Zhang, et al.",Reproduction in domestic animals = Zuchthygiene,2025,41243861,https://pubmed.ncbi.nlm.nih.gov/41243861/
"Wu, Jennifer, MD",Wu,Jennifer,First-Order Phase Transformation in Highly Concentrated Electrolyte for High-Rate and Long-Cycle Aqueous Zn-Ion Battery.,"Xiuling Shi, Yuchuan Sun, Bin Cao, et al.",Angewandte Chemie (International ed. in English),2025,41243682,https://pubmed.ncbi.nlm.nih.gov/41243682/
"Wu, Jennifer, MD",Wu,Jennifer,Optically Driven Eutectogel Pyroelectric for Efficient Deformable Photodetectors.,"Zhengdong Liu, Jicai Wu, Yang Zeng, et al.","Advanced materials (Deerfield Beach, Fla.)",2025,41243591,https://pubmed.ncbi.nlm.nih.gov/41243591/
"Wu, Jennifer, MD",Wu,Jennifer,Bond-Discretization in Nickel Oxide to Boost Capacity for Rechargeable Nickel─Zinc Batteries.,"Shangze Fan, Pingyun Si, Chuanqi Cheng, et al.","Advanced materials (Deerfield Beach, Fla.)",2025,41243563,https://pubmed.ncbi.nlm.nih.gov/41243563/
"Wu, Jennifer, MD",Wu,Jennifer,Tetraspanin SfCD9 as a Key Membrane Binding Factor of SRBSDV P10 Facilitates Viral Entry Into Sogatella furcifera Midgut Epithelial Cells via Clathrin-Mediated Endocytosis.,"Shibo Gao, Liyan Li, Ming Zeng, et al.",Molecular plant pathology,2025,41243408,https://pubmed.ncbi.nlm.nih.gov/41243408/
"Wu, Jennifer, MD",Wu,Jennifer,RADA16 and SAAP148 Peptide-Modified Collagen Self-Assembled Hydrogels for Accelerated Healing of Infected Wounds.,"Qian Liu, Jiawei Wu, Ho-Pan Bei, et al.","Advanced science (Weinheim, Baden-Wurttemberg, Germany)",2025,41243276,https://pubmed.ncbi.nlm.nih.gov/41243276/
"Wu, Jennifer, MD",Wu,Jennifer,High-Performance Quasi-Solid-State Calcium-Ion Batteries from Redox-Active Covalent Organic Framework Electrolytes.,"Zhuoyu Yin, Jixin Wu, Ye Tian, et al.","Advanced science (Weinheim, Baden-Wurttemberg, Germany)",2025,41243225,https://pubmed.ncbi.nlm.nih.gov/41243225/
"Wu, Jennifer, MD",Wu,Jennifer,Big data analytics of antibiotic toxicity and inhibition in anammox systems: A review.,"Xinxin Xu, Meng Zhang, Junwei Wu, et al.",Bioresource technology,2025,41242558,https://pubmed.ncbi.nlm.nih.gov/41242558/
"Wu, Jennifer, MD",Wu,Jennifer,Molecularly imprinted ratiometric fluorescent sensor based on dual-emission carbon dots for selective detection of tetracycline.,"Jun Wu, Hao Du, Yihan Qian, et al.","Spectrochimica acta. Part A, Molecular and biomolecular spectroscopy",2025,41242123,https://pubmed.ncbi.nlm.nih.gov/41242123/
"Wu, Jennifer, MD",Wu,Jennifer,In-situ NIR spectroscopy study on microgravity-induced articular cartilage degeneration with ResNet-18.,"Qingxia Wu, Xinyi Ji, Jinjin Wu, et al.","Spectrochimica acta. Part A, Molecular and biomolecular spectroscopy",2025,41242109,https://pubmed.ncbi.nlm.nih.gov/41242109/
"Wu, Jennifer, MD",Wu,Jennifer,Bisphenol S disrupts human sertoli cell function through NR1H3 degradation: Mechanistic insights from integrated bulk and single-cell transcriptomics.,"Zhongwen Lu, Peng Xue, Daoyuan Lu, et al.",Ecotoxicology and environmental safety,2025,41241997,https://pubmed.ncbi.nlm.nih.gov/41241997/
"Wu, Jennifer, MD",Wu,Jennifer,The effect of infertility-related stress on fertility-related quality of life in reproductive-age married women with endometriosis: the mediating role of family resilience.,"Guifang Bai, Fang Fang, Jiaqi Wu, et al.","Psychology, health & medicine",2025,41241960,https://pubmed.ncbi.nlm.nih.gov/41241960/
"Wu, Jennifer, MD",Wu,Jennifer,Single-cell transcriptomic analysis reveals T cell heterogeneity and metabolic reprogramming in human immune-mediated glomerulonephritis.,"Jianbo Qing, Yiting Zhao, Wisit Cheungpasitporn, et al.",Autoimmunity,2025,41241792,https://pubmed.ncbi.nlm.nih.gov/41241792/
"Wu, Jennifer, MD",Wu,Jennifer,Transcriptional Activation of NaNAC72 Suppresses Nicotine Biosynthesis in DNA Methyltransferase NaDRM2-like2 Mutants of Nicotiana attenuata.,"Ahui Tong, Rongping Li, Xueju Cha, et al.",Plant biotechnology journal,2025,41241788,https://pubmed.ncbi.nlm.nih.gov/41241788/
"Wu, Jennifer, MD",Wu,Jennifer,Proteomic and metabolomic profiling of plasma reveals physiologic changes in patients with convalescent COVID-19.,"Lei Wang, Ying Zhang, Lixin Bao, et al.",Metabolomics : Official journal of the Metabolomic Society,2025,41241689,https://pubmed.ncbi.nlm.nih.gov/41241689/
"Wu, Jennifer, MD",Wu,Jennifer,Global assessment of atherosclerotic cardiovascular disease quality of care index in adults aged ≥60 years.,"Ben Hu, Jiaxin Li, Huimin Su, et al.","Nutrition, metabolism, and cardiovascular diseases : NMCD",2025,41241629,https://pubmed.ncbi.nlm.nih.gov/41241629/
"Wu, Jennifer, MD",Wu,Jennifer,Molecular enrichment integrated with soft voting for efficient SERS detection of multiple drugs.,"Min Zhao, Xuanhua Yan, Jitao Sun, et al.",Analytica chimica acta,2025,41241498,https://pubmed.ncbi.nlm.nih.gov/41241498/
"Wu, Jennifer, MD",Wu,Jennifer,MicroRNA-3473b regulates corticosterone-induced microglial polarization and inflammation through TREM2.,"Jingjing Shi, Caina Ma, Yuexi Liu, et al.",Journal of pharmacological sciences,2025,41241431,https://pubmed.ncbi.nlm.nih.gov/41241431/
"Wu, Jennifer, MD",Wu,Jennifer,Oral delivery of Silybin via HA-DOCA-functionalized zein nanocolloids for amelioration of liver fibrosis.,"Lin Wen, Jijiao Wu, Yuxin Zhao, et al.",International journal of biological macromolecules,2025,41241356,https://pubmed.ncbi.nlm.nih.gov/41241356/
"Wu, Jennifer, MD",Wu,Jennifer,The impact of acacetin on proguanil metabolism: An in vitro and in vivo study.,"Haoxin Fu, Shiqi Jiang, Peiqi Wang, et al.",Biochemical pharmacology,2025,41241020,https://pubmed.ncbi.nlm.nih.gov/41241020/
"Wu, Jennifer, MD",Wu,Jennifer,Development of an UPLC-MS/MS method for quantification of donafenib and its metabolite in rat plasma: application to drug-drug interaction.,"Yuxin Shen, Ruibin Li, Lu Cao, et al.",Biochemical pharmacology,2025,41241015,https://pubmed.ncbi.nlm.nih.gov/41241015/
"Wu, Jennifer, MD",Wu,Jennifer,Global prevalence of hypertension among children and adolescents aged 19 years or younger: an updated systematic review and meta-analysis.,"Jiali Zhou, Shiyi Shan, Jing Wu, et al.",The Lancet. Child & adolescent health,2025,41240955,https://pubmed.ncbi.nlm.nih.gov/41240955/
"Wu, Jennifer, MD",Wu,Jennifer,External energy supply extends the refrigerated shelf life of silver carp muscle.,"Wenqing Zhai, Jingjing Wu, Renyue Zhang, et al.",Food chemistry,2025,41240865,https://pubmed.ncbi.nlm.nih.gov/41240865/
"Wu, Jennifer, MD",Wu,Jennifer,Accelerated adhesion of immobilized Saccharomyces cerevisiae on electrophilic interface modified by co-deposition of dopamine and chitosan.,"Jinming Zhang, Jihang Zhang, Lewei Hou, et al.","Colloids and surfaces. B, Biointerfaces",2025,41240708,https://pubmed.ncbi.nlm.nih.gov/41240708/
"Wu, Jennifer, MD",Wu,Jennifer,Effect of high-lipid environment on human gingival fibroblast on titanium surface: An in-vitro study.,"Shuyi Tan, Maoquan Li, Zhiqiang Liu, et al.",Archives of oral biology,2025,41240684,https://pubmed.ncbi.nlm.nih.gov/41240684/
"Wu, Jennifer, MD",Wu,Jennifer,Hydrodynamic and leaching efficiency comparison of horizontal and vertical well Systems in Uranium in-Situ Leaching.,"Yong Chang, Yixuan Ren, Genmao Zhou, et al.",Journal of contaminant hydrology,2025,41240608,https://pubmed.ncbi.nlm.nih.gov/41240608/
"Wu, Jennifer, MD",Wu,Jennifer,Effects of the Total Flavonoids from Drynaria on Methyltransferase METTL3 and the Coupling of Osteogenesis and Angiogenesis in a Bone Defect Rat Model.,"Jie Wu, Jingqi Zeng, Ruizhe Wu, et al.",Current molecular medicine,2025,41239929,https://pubmed.ncbi.nlm.nih.gov/41239929/
"Wu, Jennifer, MD",Wu,Jennifer,Genetic causal association between metabolic syndrome and idiopathic pulmonary fibrosis: A 2-sample Mendelian randomization.,"Qing Liu, Qin Luo, Wei Chen, et al.",Medicine,2025,41239700,https://pubmed.ncbi.nlm.nih.gov/41239700/
"Wu, Jennifer, MD",Wu,Jennifer,The correlation between traditional Chinese medicine constitutions and chronic kidney disease-associated pruritus among hemodialysis patients in Macau.,"Yao-Chen Chuang, Yinghong Zhang, Kun-Han Chuang, et al.",Medicine,2025,41239676,https://pubmed.ncbi.nlm.nih.gov/41239676/
"Wu, Jennifer, MD",Wu,Jennifer,Orthopedic perioperative nursing under navigation nurse management: Machine learning-based risk prediction models for postoperative recovery quality and explainable artificial intelligence analysis.,"Qiu Qian, Jingrong Wu, Zhi Xu, et al.",Medicine,2025,41239628,https://pubmed.ncbi.nlm.nih.gov/41239628/
"Wu, Jennifer, MD",Wu,Jennifer,The middle frontal gyrus as a neural mediator between family relationships and internet addiction among adolescents with internet gaming disorder: a cross-sectional study.,"Yibo Zhang, Yanyan Li, Huijie Zhang, et al.",BMC psychology,2025,41239403,https://pubmed.ncbi.nlm.nih.gov/41239403/
"Wu, Jennifer, MD",Wu,Jennifer,"High prevalence and emerging cephalosporin resistance of penicillinase-producing Neisseria gonorrhoeae in Meizhou, China (2022-2024).","Qian Li, Xueqin Chen, Yuhong Huang, et al.",BMC infectious diseases,2025,41239259,https://pubmed.ncbi.nlm.nih.gov/41239259/
"Wu, Jennifer, MD",Wu,Jennifer,Efficacy and Safety of Thermal Ablation for Follicular Thyroid Neoplasms: A Multicenter Retrospective Study with >5-Year Follow-up.,"Yu-Tong Liu, Bo-Qiang Fan, Jun-Feng He, et al.",Academic radiology,2025,41238497,https://pubmed.ncbi.nlm.nih.gov/41238497/
"Wu, Jennifer, MD",Wu,Jennifer,"Corrigendum to ""Mechanistic insights into myricetin-regulated autophagy via the PI3K/Akt and PINK1/Parkin pathway in diabetic kidney disease treatment"" [J. Ethnopharmacol. (2026) 355 (Pt A) 120613].","Xin Liu, Pu-Yu Wang, Si-Qi Tang, et al.",Journal of ethnopharmacology,2025,41238495,https://pubmed.ncbi.nlm.nih.gov/41238495/
"Wu, Jennifer, MD",Wu,Jennifer,"Letter Regarding: ""Increasing Differences in Surgical Site Infections After Emergency and Elective Colorectal Surgery"".","Xingli Xu, Jiong Wu",The Journal of surgical research,2025,41238432,https://pubmed.ncbi.nlm.nih.gov/41238432/
"Wu, Jennifer, MD",Wu,Jennifer,Single-nuclei RNA sequencing unveils astrocyte and oligodendrocyte lineage cells in post-stroke human brain.,"Chengcheng Zhao, Xiuhua Yao, Lina Qiu, et al.",Experimental neurology,2025,41238151,https://pubmed.ncbi.nlm.nih.gov/41238151/
"Wu, Jennifer, MD",Wu,Jennifer,Current landscape of cross-line immune checkpoint blockade for cancer treatment.,"Pinchao Fan, Jing Wu, Chengjun Zhu, et al.",Cancer letters,2025,41238098,https://pubmed.ncbi.nlm.nih.gov/41238098/
"Wu, Jennifer, MD",Wu,Jennifer,Ling-Gui-Zhu-Gan decoction improves hepatic steatosis through ALKBH1-mediated DNA N,"Jingjuan Xu, Yunuo Yang, Jing Ma, et al.",Journal of ethnopharmacology,2025,41237871,https://pubmed.ncbi.nlm.nih.gov/41237871/
"Wu, Jennifer, MD",Wu,Jennifer,Benchmarking and optimizing Perturb-seq in differentiating human pluripotent stem cells.,"Sushama Sivakumar, Yihan Wang, Sean C Goetsch, et al.",Stem cell reports,2025,41237780,https://pubmed.ncbi.nlm.nih.gov/41237780/
"Wu, Jennifer, MD",Wu,Jennifer,Exploring the singlet oxygen generation of iridium(III) complex containing phenothiazine for photodynamic therapy.,"Qinglin Chen, Hong Zeng, Jie Wu, et al.",Journal of inorganic biochemistry,2025,41237752,https://pubmed.ncbi.nlm.nih.gov/41237752/
"Wu, Jennifer, MD",Wu,Jennifer,BI-2536 attenuates IPF progression by inhibiting the PLK2/JNK/SP1 Signaling pathway in AT2 cells.,"Anqi Cheng, Jiawei Zhou, Jianqiang Guo, et al.",International immunopharmacology,2025,41237696,https://pubmed.ncbi.nlm.nih.gov/41237696/
"Wu, Jennifer, MD",Wu,Jennifer,Mid-long term efficacy of dihydroergotoxine mesylate in treatment of sialorrhea in Parkinson's disease.,"Huihui Jin, Ting Huang, Jing Wu, et al.",Clinical neurology and neurosurgery,2025,41237588,https://pubmed.ncbi.nlm.nih.gov/41237588/
"Wu, Jennifer, MD",Wu,Jennifer,PTEN Loss Promotes PI3Kβ Phosphorylation and EPHA2/SRC/p-PI3KβY962 Complex Assembly to Drive Tumorigenesis.,"Shuang Tang, Qian Zhou, Johann S Bergholz, et al.",Cancer discovery,2025,41237375,https://pubmed.ncbi.nlm.nih.gov/41237375/
"Wu, Jennifer, MD",Wu,Jennifer,Named Entity Recognition for Chinese Cancer Electronic Health Records-Development and Evaluation of a Domain-Specific BERT Model: Quantitative Study.,"Junbai Chen, Butian Zhao, Xiaohan Tian, et al.",JMIR medical informatics,2025,41237336,https://pubmed.ncbi.nlm.nih.gov/41237336/
"Wu, Jennifer, MD",Wu,Jennifer,"Risk of postoperative urinary retention after sugammadex use in laparoscopic hernia repair: A matched cohort study of 23,444 cases.","Kuo-Chuan Hung, Hsiu-Lan Weng, Yi-Chen Lai, et al.",PloS one,2025,41237144,https://pubmed.ncbi.nlm.nih.gov/41237144/
"Wu, Jennifer, MD",Wu,Jennifer,MRI-based 2.5D deep learning and radiomics effectively predicted microvascular invasion and Ki-67 expression in hepatocellular carcinoma.,"Hongmei Yu, Depeng Kong, Xiaojun Mo, et al.",PloS one,2025,41237121,https://pubmed.ncbi.nlm.nih.gov/41237121/
